시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,이솔초등학교,경기도 화성시 동탄구 동탄순환대로8길 26,경기도 화성시 동탄구 장지동 967번지,37.16329863,127.1097225,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,이지유치원,경기도 화성시 만세구 향남읍 행정동로 42,경기도 화성시 만세구 향남읍 행정리 484번지,37.12781567,126.9272596,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,이화유치원,경기도 화성시 효행구 봉담읍 시냇말길 38,경기도 화성시 효행구 봉담읍 분천리 54-7번지,37.20988935,126.9592874,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
유치원,자연유치원,경기도 화성시 병점구 영통로61번길 30-30,경기도 화성시 병점구 반월동 865-3번지,37.23349554,127.0574921,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,장명초등학교,경기도 화성시 만세구 장안면 장명길 19-8,경기도 화성시 만세구 장안면 장안리 152번지,37.05658023,126.8521592,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,장안초등학교,경기도 화성시 만세구 장안면 조암동로 8-5,경기도 화성시 만세구 장안면 어은리 812번지,37.08604329,126.823874,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,장안초석포분교,경기도 화성시 만세구 장안면 버들로 1201-9,경기도 화성시 만세구 장안면 석포리 404번지,37.1312127,126.8407081,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,장지하나어린이집,경기도 화성시 동탄구 동탄대로1길 77,경기도 화성시 동탄구 장지동 945번지,37.16067763,127.0960102,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,재크와콩나무어린이집,경기도 화성시 병점구 병점동로42번길 13-3,경기도 화성시 병점구 병점동 259-2번지,37.20914029,127.0445003,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,정남초등학교,경기도 화성시 효행구 정남면 만년로 516,경기도 화성시 효행구 정남면 발산리 409-1번지,37.1678223,126.9841516,경기도 화성시 효행구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,정림초등학교,경기도 화성시 효행구 정남면 망월길 69,경기도 화성시 효행구 정남면 망월리 329-1번지,37.1530421,127.0116502,경기도 화성시 효행구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,정현초등학교,경기도 화성시 동탄구 동탄산척로 122,경기도 화성시 동탄구 산척동 산126,37.17144705,127.1132953,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,제암초등학교,경기도 화성시 만세구 향남읍 발안서로 21,경기도 화성시 만세구 향남읍 발안리 299번지,37.13115334,126.9021135,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
특수학교,지구촌교육공동체,경기도 화성시 동탄구 경기동로 519,경기도 화성시 동탄구 장지동 861-2번지,37.15034584,127.1270703,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,지니어스숲어린이집,경기도 화성시 효행구 봉담읍 효행로291번길 6-10,경기도 화성시 효행구 봉담읍 와우리 147-3번지,37.22181185,126.9754235,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
유치원,지은유치원,경기도 화성시 만세구 향남읍 서해로535번길 33-12,경기도 화성시 만세구 향남읍 상신리 87-12번지,37.11274932,126.8986006,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,진안어린이집,경기도 화성시 병점구 병점동로148번길 12,경기도 화성시 병점구 진안동 857-2번지,37.2167379,127.0384406,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,진안초등학교,경기도 화성시 병점구 병점4로 97,경기도 화성시 병점구 진안동 915번지,37.21700472,127.040545,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
어린이집,진주숲어린이집,경기도 화성시 효행구 봉담읍 삼봉길 14,경기도 화성시 효행구 봉담읍 상리 258-1번지,37.22434074,126.9360489,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
유치원,참유치원,경기도 화성시 병점구 병점2로 45,경기도 화성시 병점구 병점동 813번지,37.20702093,127.0415271,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
유치원,청계유치원,경기도 화성시 동탄구 동탄대로시범길 199,경기도 화성시 동탄구 청계동 531-5번지,37.20107872,127.1078924,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,청룡초등학교,경기도 화성시 효행구 비봉면 주석로 610,경기도 화성시 효행구 비봉면 청요리 571번지,37.20084555,126.8886257,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,청림초등학교,경기도 화성시 동탄구 동탄산척로 93-22,경기도 화성시 동탄구 산척동 704번지,37.17458716,127.1113568,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,청목초등학교,경기도 화성시 동탄구 동탄순환대로21길 10,경기도 화성시 동탄구 청계동 539번지,37.19574831,127.1174309,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,청원초등학교,경기도 화성시 만세구 마도면 해운로 794,경기도 화성시 만세구 마도면 청원리 228-4번지,37.18820787,126.7608922,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,치동초등학교,경기도 화성시 동탄구 동탄순환대로 881-34,경기도 화성시 동탄구 영천동 789번지,37.20655283,127.0915676,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,태안초등학교,경기도 화성시 병점구 병점3로 77,경기도 화성시 병점구 병점동 824번지,37.21065951,127.0408656,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,팔탄초대방분교,경기도 화성시 만세구 팔탄면 노하길 398,경기도 화성시 만세구 팔탄면 노하리 173-1번지,37.16190364,126.8701572,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,팔탄초등학교,경기도 화성시 만세구 팔탄면 마당바위로31번길 6,경기도 화성시 만세구 팔탄면 구장리 522-1번지,37.16005653,126.9023219,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
